source,target,relation
50,0,memilikiGejala
50,1,memilikiGejala
50,2,memilikiGejala
50,3,memilikiGejala
50,5,memilikiGejala
50,6,memilikiGejala
50,7,memilikiGejala
50,8,memilikiGejala
50,9,memilikiGejala
50,11,memilikiGejala
50,12,memilikiGejala
50,14,memilikiGejala
50,15,memilikiGejala
50,16,memilikiGejala
50,17,memilikiGejala
50,18,memilikiGejala
50,19,memilikiGejala
50,20,memilikiGejala
50,21,memilikiGejala
50,22,memilikiGejala
50,23,memilikiGejala
50,24,memilikiGejala
50,25,memilikiGejala
50,26,memilikiGejala
50,27,memilikiGejala
50,28,memilikiGejala
50,29,memilikiGejala
50,30,memilikiGejala
50,31,memilikiGejala
50,32,memilikiGejala
50,33,memilikiGejala
50,34,memilikiGejala
50,35,memilikiGejala
50,39,memilikiGejala
50,41,memilikiGejala
50,43,memilikiGejala
50,44,memilikiGejala
50,45,memilikiGejala
50,46,memilikiGejala
50,47,memilikiGejala
50,48,memilikiGejala
50,51,memilikiGejala
0,40,terdiagnosaPenyakit
2,40,terdiagnosaPenyakit
16,40,terdiagnosaPenyakit
18,40,terdiagnosaPenyakit
19,40,terdiagnosaPenyakit
20,40,terdiagnosaPenyakit
47,40,terdiagnosaPenyakit
1,37,terdiagnosaPenyakit
17,37,terdiagnosaPenyakit
19,37,terdiagnosaPenyakit
24,37,terdiagnosaPenyakit
32,37,terdiagnosaPenyakit
33,37,terdiagnosaPenyakit
41,37,terdiagnosaPenyakit
3,36,terdiagnosaPenyakit
11,36,terdiagnosaPenyakit
12,36,terdiagnosaPenyakit
16,36,terdiagnosaPenyakit
19,36,terdiagnosaPenyakit
20,36,terdiagnosaPenyakit
23,36,terdiagnosaPenyakit
5,38,terdiagnosaPenyakit
16,38,terdiagnosaPenyakit
19,38,terdiagnosaPenyakit
20,38,terdiagnosaPenyakit
35,38,terdiagnosaPenyakit
43,38,terdiagnosaPenyakit
6,4,terdiagnosaPenyakit
17,4,terdiagnosaPenyakit
19,4,terdiagnosaPenyakit
20,4,terdiagnosaPenyakit
34,4,terdiagnosaPenyakit
41,4,terdiagnosaPenyakit
44,4,terdiagnosaPenyakit
7,49,terdiagnosaPenyakit
17,49,terdiagnosaPenyakit
19,49,terdiagnosaPenyakit
20,49,terdiagnosaPenyakit
41,49,terdiagnosaPenyakit
47,49,terdiagnosaPenyakit
8,42,terdiagnosaPenyakit
19,42,terdiagnosaPenyakit
20,42,terdiagnosaPenyakit
27,42,terdiagnosaPenyakit
29,42,terdiagnosaPenyakit
48,42,terdiagnosaPenyakit
9,10,terdiagnosaPenyakit
19,10,terdiagnosaPenyakit
20,10,terdiagnosaPenyakit
26,10,terdiagnosaPenyakit
28,10,terdiagnosaPenyakit
14,53,terdiagnosaPenyakit
15,53,terdiagnosaPenyakit
19,53,terdiagnosaPenyakit
20,53,terdiagnosaPenyakit
22,53,terdiagnosaPenyakit
31,53,terdiagnosaPenyakit
47,53,terdiagnosaPenyakit
15,54,terdiagnosaPenyakit
19,54,terdiagnosaPenyakit
30,54,terdiagnosaPenyakit
46,54,terdiagnosaPenyakit
47,54,terdiagnosaPenyakit
19,13,terdiagnosaPenyakit
20,13,terdiagnosaPenyakit
25,13,terdiagnosaPenyakit
45,13,terdiagnosaPenyakit
48,13,terdiagnosaPenyakit
21,52,terdiagnosaPenyakit
39,52,terdiagnosaPenyakit
47,52,terdiagnosaPenyakit
51,52,terdiagnosaPenyakit
