ui_label,kg_name
Daun terdapat bercak busuk berwarna coklat dan kuning (bercak lanas),Daun_terdapat_bercak_busuk_coklat_kuning
Akar membusuk,Akar_membusuk
Empulur bersekat hitam saat dibelah,Empulur_bersekat_hitam
Empulur jika dicampur dengan air menjadi keruh,Empulur_dicampur_air_keruh
Daun terdapat bercak cincin kecil yang simetris (frogeye),Daun_terdapat_bercak_cincin_kecil_simetris
Daun terdapat bercak titik hitam di tengah bercak putih,Daun_terdapat_bercak_titik_hitam_ditengah_putih
Bawah daun terdapat serbuk jamur keabu-abuan di area bercak (frogeye),Bawah_daun_terdapat_serbuk_jamur
Daun terdapat bercak cincin besar yang berpusat jelas (kosentris),Daun_terdapat_bercak_cincin_besar_terpusat
Penyakit bermula dari daun bawah dekat tanah,Penyakit_bermula_dari_daun_bawah
Daun terdapat bercak cincin kecil yang tidak simetris,Daun_terdapat_bercak_cincin_kecil_asimetris
Bercak cincin pada daun cepat melebar/menyatu,Bercak_cincin_daun_melebar_dan_menyatu
Daun terdapat bercak coklat,Daun_terdapat_bercak_coklat
Berkas pembuluh pada batang berwarna coklat dan bila ditekan keluar lendir,Pembuluh_batang_berwarna_coklat_dan_berlendir
Batang berlubang saat dibelah,Batang_dalam_berlubang
Empulur tidak mau bersatu dengan air,Empulur_tidak_bersatu_dengan_air
Batang basah/lunak/berlendir dan berbau busuk,Batang_lunak_busuk_berlendir
Penyakit bermula dari luka topping/midrib,Penyakit_berawal_dari_midrib
Empulur kosong sehingga batang dapat patah di tengah,Empulur_kosong
Daun terdapat banyak bercak coklat/hitam,Daun_terdapat_banyak_bercak_coklat_hitam
Bercak pada daun berminyak,Bercak_daun_berminyak
Bercak pada daun kering dan rapuh,Bercak_daun_kering
Banyak jaringan rusak daun yang rontok (daun berlubang),Banyak_jaringan_daun_rusak_rontok_berlubang
Daun terdapat mosaik kontras hijau tua-hijau muda,Daun_terdapat_mosaik_hijau_tua_muda
Penyakit cepat menyebar,Penyakit_cepat_menyebar
Daun terdapat pola jaring laba-laba kuning kehitaman,Daun_terdapat_pola_jaring_laba_kuning_kehitaman
Daun menyempit,Daun_menyempit
Daun berwarna belang tidak teratur (seperti kulit mentimun),Daun_berwarna_belang_tidak_teratur
Daun mengkerut,Daun_mengkerut
Urat daun menebal,Urat_daun_menebal
Muncul banyak cabang secara berlebihan,Muncul_banyak_cabang_berlebihan
Akar membengkak,Akar_membengkak
Akar terdapat benjolan,Akar_terdapat_benjolan
Daun layu pada siang hari,Daun_layu_saat_siang
Batang mengering dan layu,Batang_mengering_layu
Daun layu menyeluruh,Daun_layu_menyeluruh
Daun layu bertahap,Daun_layu_bertahap
Daun mengalami nekrosis,Daun_mengalami_nekrosis
Daun mengalami klorosis,Daun_mengalami_klorosis
Pangkal batang menghitam,Pangkal_batang_menghitam
Pusat bercak cincin pada daun tipis dan mudah robek,Pusat_bercak_cincin_daun_tipis_mudah_robek
Pertumbuhan tanaman terhambat (kerdil),Pertumbuhan_terhambat_atau_kerdil
Daun keriting/bergelombang,Daun_keriting_bergelombang
